,Trip,Headsign
1079,61394061,City Point via South Bay Center
1080,61394062,City Point via South Bay Center
1081,61394125,City Point via South Bay Center
1082,61394127,City Point via South Bay Center
1083,61394128,City Point via South Bay Center
1084,61394130,City Point via South Bay Center
1085,61394166,City Point via South Bay Center
1086,61394169,City Point via South Bay Center
1087,61391971_2,City Point
1088,61501965,Copley via South Bay Center
1089,61501968,Copley via South Bay Center
1090,61501973,Copley via South Bay Center
1091,61501980,Copley via South Bay Center
1092,61501988,Copley via South Bay Center
1093,61501995,Copley via South Bay Center
1094,61502002,Copley via South Bay Center
1095,61502009,Copley via South Bay Center
1096,61502025,Copley via South Bay Center
1097,61502030,Copley via South Bay Center
1098,61502039,Copley via South Bay Center
1099,61502047,Copley via South Bay Center
1100,61502055,Copley via South Bay Center
1101,61502057,Copley via South Bay Center
1102,61502065,Copley via South Bay Center
1103,61502074,Copley via South Bay Center
1104,61502084,Copley via South Bay Center
1105,61502089,Copley via South Bay Center
1106,61502100,Copley via South Bay Center
1107,61502104,Copley via South Bay Center
1108,61502116,Copley via South Bay Center
1109,61502120,Copley via South Bay Center
1110,61502128,Copley via South Bay Center
1111,61502134,Copley via South Bay Center
1112,61502139,Copley via South Bay Center
1113,61502142,Copley via South Bay Center
1114,61502143,Copley via South Bay Center
1115,61502150,Copley via South Bay Center
1116,61502152,Copley via South Bay Center
1117,61503315,Copley via South Bay Center
1118,61503338,Copley via South Bay Center
1119,61503356,Copley via South Bay Center
1120,61503358,Copley via South Bay Center
1121,61503361,Copley via South Bay Center
1122,61503362,Copley via South Bay Center
1123,61503389,Copley via South Bay Center
1124,61503392,Copley via South Bay Center
1125,61503395,Copley via South Bay Center
1126,61503407,Copley via South Bay Center
1127,61533211,Copley via South Bay Center
1128,61533212,Copley via South Bay Center
1129,61533217,Copley via South Bay Center
1130,61533218,Copley via South Bay Center
1131,61533220,Copley via South Bay Center
1132,61533222,Copley via South Bay Center
1133,61533224,Copley via South Bay Center
1134,61533227,Copley via South Bay Center
1135,61533229,Copley via South Bay Center
1136,61533232,Copley via South Bay Center
1137,61533235,Copley via South Bay Center
1138,61533237,Copley via South Bay Center
1139,61533238,Copley via South Bay Center
1140,61533239,Copley via South Bay Center
1141,61533242,Copley via South Bay Center
